,Country,Year,pesticides_usage,Unit
0,Albania,1990,121.0,tonnes
1,Albania,1991,121.0,tonnes
2,Albania,1992,121.0,tonnes
3,Albania,1993,121.0,tonnes
4,Albania,1994,201.0,tonnes
5,Albania,1995,251.0,tonnes
6,Albania,1996,261.89,tonnes
7,Albania,1997,272.78,tonnes
8,Albania,1998,283.68,tonnes
9,Albania,1999,294.57,tonnes
10,Albania,2000,305.46,tonnes
11,Albania,2001,316.35,tonnes
12,Albania,2002,327.25,tonnes
13,Albania,2003,338.14,tonnes
14,Albania,2004,349.03,tonnes
15,Albania,2005,359.92,tonnes
16,Albania,2006,370.82,tonnes
17,Albania,2007,381.71,tonnes
18,Albania,2008,392.6,tonnes
19,Albania,2009,403.49,tonnes
20,Albania,2010,582.93,tonnes
21,Albania,2011,574.62,tonnes
22,Albania,2012,353.05,tonnes
23,Albania,2013,441.53,tonnes
24,Algeria,1990,4684.13,tonnes
25,Algeria,1991,6035.05,tonnes
26,Algeria,1992,2816.84,tonnes
27,Algeria,1993,2650.67,tonnes
28,Algeria,1994,2999.28,tonnes
29,Algeria,1995,5196.29,tonnes
30,Algeria,1996,1131.55,tonnes
31,Algeria,1997,762.82,tonnes
32,Algeria,1998,439.62,tonnes
33,Algeria,1999,1168.83,tonnes
34,Algeria,2000,1673.1,tonnes
35,Algeria,2001,2177.37,tonnes
36,Algeria,2002,2681.64,tonnes
37,Algeria,2003,3185.91,tonnes
38,Algeria,2004,3690.18,tonnes
39,Algeria,2005,2726.44,tonnes
40,Algeria,2006,2419.85,tonnes
41,Algeria,2007,3478.36,tonnes
42,Algeria,2008,5635.95,tonnes
43,Algeria,2009,3084.25,tonnes
44,Algeria,2010,1785.42,tonnes
45,Algeria,2011,7528.05,tonnes
46,Algeria,2012,8896.01,tonnes
47,Algeria,2013,8185.41,tonnes
48,Angola,1990,64.0,tonnes
49,Angola,1991,81.67,tonnes
50,Angola,1992,25.33,tonnes
51,Angola,1993,169.0,tonnes
52,Angola,1994,25.5,tonnes
53,Angola,1995,336.0,tonnes
54,Angola,1996,40.0,tonnes
55,Angola,1997,40.0,tonnes
56,Angola,1998,40.0,tonnes
57,Angola,1999,40.0,tonnes
58,Angola,2000,40.0,tonnes
59,Angola,2001,40.0,tonnes
60,Angola,2002,40.0,tonnes
61,Angola,2003,40.0,tonnes
62,Angola,2004,40.0,tonnes
63,Angola,2005,40.0,tonnes
64,Angola,2006,40.0,tonnes
65,Angola,2007,40.0,tonnes
66,Angola,2008,40.0,tonnes
67,Angola,2009,40.0,tonnes
68,Angola,2010,40.0,tonnes
69,Angola,2011,40.0,tonnes
70,Angola,2012,40.0,tonnes
71,Angola,2013,40.0,tonnes
72,Antigua and Barbuda,1990,7.52,tonnes
73,Antigua and Barbuda,1991,7.52,tonnes
74,Antigua and Barbuda,1992,7.52,tonnes
75,Antigua and Barbuda,1993,7.52,tonnes
76,Antigua and Barbuda,1994,7.52,tonnes
77,Antigua and Barbuda,1995,7.52,tonnes
78,Antigua and Barbuda,1996,7.52,tonnes
79,Antigua and Barbuda,1997,7.52,tonnes
80,Antigua and Barbuda,1998,7.52,tonnes
81,Antigua and Barbuda,1999,7.52,tonnes
82,Antigua and Barbuda,2000,7.52,tonnes
83,Antigua and Barbuda,2001,7.52,tonnes
84,Antigua and Barbuda,2002,7.52,tonnes
85,Antigua and Barbuda,2003,7.52,tonnes
86,Antigua and Barbuda,2004,7.52,tonnes
87,Antigua and Barbuda,2005,7.52,tonnes
88,Antigua and Barbuda,2006,7.52,tonnes
89,Antigua and Barbuda,2007,7.52,tonnes
90,Antigua and Barbuda,2008,7.52,tonnes
91,Antigua and Barbuda,2009,7.52,tonnes
92,Antigua and Barbuda,2010,7.52,tonnes
93,Antigua and Barbuda,2011,39.26,tonnes
94,Antigua and Barbuda,2012,31.5,tonnes
95,Antigua and Barbuda,2013,28.3,tonnes
96,Argentina,1990,26156.0,tonnes
97,Argentina,1991,26156.0,tonnes
98,Argentina,1992,26156.0,tonnes
99,Argentina,1993,26156.0,tonnes
100,Argentina,1994,30195.0,tonnes
101,Argentina,1995,37842.0,tonnes
102,Argentina,1996,54595.0,tonnes
103,Argentina,1997,77691.0,tonnes
104,Argentina,1998,62397.0,tonnes
105,Argentina,1999,73152.15,tonnes
106,Argentina,2000,83907.29,tonnes
107,Argentina,2001,94662.44,tonnes
108,Argentina,2002,105417.59,tonnes
109,Argentina,2003,116172.73,tonnes
110,Argentina,2004,126927.88,tonnes
111,Argentina,2005,137683.03,tonnes
112,Argentina,2006,148438.17,tonnes
113,Argentina,2007,185617.65,tonnes
114,Argentina,2008,202151.41,tonnes
115,Argentina,2009,138831.47,tonnes
116,Argentina,2010,234430.38,tonnes
117,Argentina,2011,219255.93,tonnes
118,Argentina,2012,215405.95,tonnes
119,Argentina,2013,211555.98,tonnes
120,Armenia,1992,8.0,tonnes
121,Armenia,1993,8.0,tonnes
122,Armenia,1994,23.0,tonnes
123,Armenia,1995,23.9,tonnes
124,Armenia,1996,32.0,tonnes
125,Armenia,1997,41.46,tonnes
126,Armenia,1998,50.92,tonnes
127,Armenia,1999,60.38,tonnes
128,Armenia,2000,69.85,tonnes
129,Armenia,2001,79.31,tonnes
130,Armenia,2002,88.77,tonnes
131,Armenia,2003,98.23,tonnes
132,Armenia,2004,204.77,tonnes
133,Armenia,2005,220.51,tonnes
134,Armenia,2006,227.55,tonnes
135,Armenia,2007,241.71,tonnes
136,Armenia,2008,218.2,tonnes
137,Armenia,2009,198.36,tonnes
138,Armenia,2010,278.72,tonnes
139,Armenia,2011,278.72,tonnes
140,Armenia,2012,278.72,tonnes
141,Armenia,2013,278.72,tonnes
142,Australia,1990,17866.0,tonnes
143,Australia,1991,17866.0,tonnes
144,Australia,1992,22234.0,tonnes
145,Australia,1993,23899.0,tonnes
146,Australia,1994,21057.0,tonnes
147,Australia,1995,25598.0,tonnes
148,Australia,1996,31185.0,tonnes
149,Australia,1997,34091.0,tonnes
150,Australia,1998,37215.0,tonnes
151,Australia,1999,34200.0,tonnes
152,Australia,2000,33475.0,tonnes
153,Australia,2001,32710.0,tonnes
154,Australia,2002,26651.0,tonnes
155,Australia,2003,32418.0,tonnes
156,Australia,2004,36276.0,tonnes
157,Australia,2005,34310.0,tonnes
158,Australia,2006,35900.0,tonnes
159,Australia,2007,32446.24,tonnes
160,Australia,2008,42935.38,tonnes
161,Australia,2009,38065.69,tonnes
162,Australia,2010,42169.39,tonnes
163,Australia,2011,47632.98,tonnes
164,Australia,2012,48687.88,tonnes
165,Australia,2013,45177.19,tonnes
