Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","7","Angola","57","Gross Production Value (current million US$)","656","Coffee, green","2010","2010","USD","5.088878","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","57","Gross Production Value (current million US$)","656","Coffee, green","2011","2011","USD","7.161056","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","57","Gross Production Value (current million US$)","656","Coffee, green","2012","2012","USD","9.031824","Fc","Calculated data"
"QV","Value of Agricultural Production","7","Angola","57","Gross Production Value (current million US$)","656","Coffee, green","2013","2013","USD","10.110391","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","1998","1998","USD","0.137547","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","1999","1999","USD","0.10143","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2000","2000","USD","0.241148","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2001","2001","USD","0.332737","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2002","2002","USD","0.337776","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2003","2003","USD","0.340752","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2004","2004","USD","0.331646","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2005","2005","USD","0.073539","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2006","2006","USD","0.144496","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2007","2007","USD","0.082876","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2008","2008","USD","0.152252","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2009","2009","USD","0.154052","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2010","2010","USD","0.137955","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2011","2011","USD","0.151557","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2012","2012","USD","0.168377","Fc","Calculated data"
"QV","Value of Agricultural Production","23","Belize","57","Gross Production Value (current million US$)","656","Coffee, green","2013","2013","USD","0.163744","Fc","Calculated data"
"QV","Value of Agricultural Production","19","Bolivia (Plurinational State of)","57","Gross Production Value (current million US$)","656","Coffee, green","1991","1991","USD","8.449025","Fc","Calculated data"
"QV","Value of Agricultural Production","19","Bolivia (Plurinational State of)","57","Gross Production Value (current million US$)","656","Coffee, green","1992","1992","USD","6.825754","Fc","Calculated data"
"QV","Value of Agricultural Production","19","Bolivia (Plurinational State of)","57","Gross Production Value (current million US$)","656","Coffee, green","1993","1993","USD","6.497733","Fc","Calculated data"
"QV","Value of Agricultural Production","19","Bolivia (Plurinational State of)","57","Gross Production Value (current million US$)","656","Coffee, green","1994","1994","USD","18.328018","Fc","Calculated data"
