

Copy the following address into your browser in order to access this ad hoc table again in its standard view (link is valid for 7 days).
http://www.gbe-bund.de/gbe10/i?i=6:37187211E
 
Deaths, cases per 100,000 inhabitants (age-standardized) (from 1998). Classification: years, region, age, sex, nationality, ICD-10, type of standardization                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
(Table limited according to thematic context: Diseases/Health Problems -> Endocrine Diseases -> Diabetes)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
****************************************************************************************************
                                                                                                    
Shown values refer to:
Region:;Germany
Age:;All age-groups
Sex:;Total
Nationality:;All nationalities
ICD10:;E10-E14 Diabetes mellitus
Type of standardization:;Standard population &quot;Germany 2011&quot;
""
;"";;;
;" Deaths";" Deaths per 100,000 inhabitants";" Deaths per 100,000  inhabitants (age-standardised)";
"    1998";"20,663";"25.2";"33.0";
"    1999";"20,947";"25.5";"32.9";
"    2000";"21,180";"25.8";"32.6";
"       2001";"21,878";"26.6";"33.0";
"       2002";"23,607";"28.6";"35.1";
"       2003";"23,941";"29.0";"35.2";
"       2004";"23,653";"28.7";"34.2";
"    2005";"24,342";"29.5";"34.2";
"       2006";"22,308";"27.1";"30.6";
"       2007";"21,871";"26.6";"29.3";
"       2008";"22,330";"27.2";"29.4";
"       2009";"22,769";"27.8";"29.3";
"    2010";"23,131";"28.3";"28.8";
"       2011";"23,552";"29.3";"29.3";
"       2012";"24,055";"29.9";"29.2";
"       2013";"24,257";"30.1";"28.8";
"       2014";"22,643";"28.0";"26.2";
"    2015";"24,400";"29.9";"27.5";
"    2016";"23,059";"28.0";"25.3";
"    2017";"24,854";"30.1";"26.8";

****************************************************************************************************
Footnotes
****************************************************************************************************

"1.";"In September 2019 the age-standardized values for 2017 were corrected, so that deviations from previously displayed values are possible."

****************************************************************************************************
Table was compiled on 09.11.2019 15:34 under www.gbe-bund.de
****************************************************************************************************

Source(s):
"Statistics on the causes of death, Federal Statistical Office, Branch Bonn"
"Update of the state of the population, Federal Statistical Office"

****************************************************************************************************
Positionen mit Erläuterungen und Abkürzungen
****************************************************************************************************

Type of standardization:
  Standard population "Germany 2011":;Attention! By using this standard population the differences between the age structures of men and women are not adjusted. See Link "Standard populations" in the section "Definition(s)" on this page.
